province,electorialDistrictNumber,district,subdistrict
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,ดอนเกาะกา
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,โยธะกา
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,ดอนฉิมพลี
ฉะเชิงเทรา,2,พนมสารคาม,เขาหินซ้อน
ฉะเชิงเทรา,2,พนมสารคาม,หนองยาว
ฉะเชิงเทรา,2,พนมสารคาม,บ้านซ่อง
ฉะเชิงเทรา,2,ราชสาส์น,
ฉะเชิงเทรา,3,ท่าตะเกียบ,
ฉะเชิงเทรา,3,พนมสารคาม,เกาะขนุน
ฉะเชิงเทรา,3,พนมสารคาม,พนมสารคาม
ฉะเชิงเทรา,3,พนมสารคาม,เมืองเก่า
ฉะเชิงเทรา,3,พนมสารคาม,ท่าถ่าน
ฉะเชิงเทรา,3,พนมสารคาม,หนองแหน
ฉะเชิงเทรา,3,สนามชัย,
ฉะเชิงเทรา,4,บางปะกง,
ฉะเชิงเทรา,4,บ้านโพธิ์,
ฉะเชิงเทรา,4,แปลงยาว,
ชลบุรี,1,เมืองชลบุรี,แสนสุข
ชลบุรี,1,เมืองชลบุรี,หนองรี
ชลบุรี,1,เมืองชลบุรี,นาป่า
ชลบุรี,1,เมืองชลบุรี,หนองข้างคอก
ชลบุรี,1,เมืองชลบุรี,เหมือง
ชลบุรี,1,เมืองชลบุรี,บ้านปึก
ชลบุรี,1,เมืองชลบุรี,ห้วยกะปิ
ชลบุรี,1,เมืองชลบุรี,เสม็ด
ชลบุรี,1,เมืองชลบุรี,อ่างศิลา
ชลบุรี,1,เมืองชลบุรี,สำนักบก
ชลบุรี,2,พานทอง,พานทอง
ชลบุรี,2,พานทอง,หนองตำลึง
ชลบุรี,2,พานทอง,หนองกะขะ
ชลบุรี,2,พานทอง,โคกขี้หนอน
ชลบุรี,2,พานทอง,บ้านเก่า
ชลบุรี,2,พานทอง,หน้าประดู่
ชลบุรี,2,พานทอง,บางนาง
ชลบุรี,2,พานทอง,เกาะลอย
ชลบุรี,2,พานทอง,บางหัก
ชลบุรี,2,เมืองชลบุรี,บางปลาสร้อย
ชลบุรี,2,เมืองชลบุรี,มะขามหย่ง
ชลบุรี,2,เมืองชลบุรี,บ้านโขด
ชลบุรี,2,เมืองชลบุรี,บางทราย
ชลบุรี,2,เมืองชลบุรี,หนองไม้แดง
ชลบุรี,2,เมืองชลบุรี,คลองตำหรุ
ชลบุรี,2,เมืองชลบุรี,ดอนหัวฬ่อ
ชลบุรี,2,เมืองชลบุรี,บ้านสวน
ชลบุรี,3,พนัสนิคม,
ชลบุรี,3,พานทอง,มาบโป่ง
ชลบุรี,3,พานทอง,หนองหงษ์
ชลบุรี,3,เกาะจันทร์,
ชลบุรี,4,บ่อทอง,
ชลบุรี,4,บ้านบึง,
ชลบุรี,4,หนองใหญ่,
ชลบุรี,5,ศรีราชา,ศรีราชา
ชลบุรี,5,ศรีราชา,สุรศักดิ์
ชลบุรี,5,ศรีราชา,หนองขาม
ชลบุรี,5,ศรีราชา,เขาคันทรง
ชลบุรี,5,ศรีราชา,บางพระ
ชลบุรี,5,ศรีราชา,บ่อวิน
ชลบุรี,5,เกาะสีชัง,
ชลบุรี,6,บางละมุง,บางละมุง
ชลบุรี,6,บางละมุง,หนองปลาไหล
ชลบุรี,6,บางละมุง,ตะเคียนเตี้ย
ชลบุรี,6,บางละมุง,นาเกลือ
ชลบุรี,6,ศรีราชา,ทุ่งสุขลา
ชลบุรี,6,ศรีราชา,บึง
ชลบุรี,7,บางละมุง,หนองปรือ
ชลบุรี,7,บางละมุง,โป่ง
ชลบุรี,7,บางละมุง,ห้วยใหญ่
ชลบุรี,7,บางละมุง,เขาไม้แก้ว
ชลบุรี,8,สัตหีบ,
ชัยนาท,1,มโนรมย์,
ชัยนาท,1,วัดสิงห์,มะขามเฒ่า
ชัยนาท,1,วัดสิงห์,หนองน้อย
ชัยนาท,1,วัดสิงห์,หนองบัว
ชัยนาท,1,วัดสิงห์,หนองขุ่น
ชัยนาท,1,วัดสิงห์,วัดสิงห์
ชัยนาท,1,สรรพยา,
ชัยนาท,1,เมืองชัยนาท,
ชัยนาท,2,วัดสิงห์,บ่อแร่
ชัยนาท,2,วัดสิงห์,วังหมัน
ชัยนาท,2,สรรคบุรี,
ชัยนาท,2,หนองมะโมง,
ชัยนาท,2,หันคา,
ชัยนาท,2,เนินขาม,
ชัยภูมิ,1,เมืองชัยภูมิ,
ชัยภูมิ,2,จัตุรัส,
ชัยภูมิ,2,บ้านเขว้า,
ชัยภูมิ,2,หนองบัวระเหว,
ชัยภูมิ,2,เนินสง่า,
ชัยภูมิ,3,ซับใหญ่,
ชัยภูมิ,3,บำเหน็จณรงค์,
ชัยภูมิ,3,ภักดีชุมพล,
ชัยภูมิ,3,เทพสถิต,
ชัยภูมิ,4,หนองบัวแดง,
ชัยภูมิ,4,เกษตรสมบูรณ์,
ชัยภูมิ,5,คอนสาร,
ชัยภูมิ,5,ภูเขียว,
ชัยภูมิ,6,คอนสวรรค์,
ชัยภูมิ,6,บ้านแท่น,
ชัยภูมิ,6,แก้งคร้อ,
ชุมพร,1,สวี,นาโพธิ์
ชุมพร,1,สวี,สวี
ชุมพร,1,สวี,ทุ่งระยะ
ชุมพร,1,สวี,ท่าหิน
ชุมพร,1,สวี,ปากแพรก
ชุมพร,1,สวี,ด่านสวี
ชุมพร,1,สวี,ครน
ชุมพร,1,สวี,วิสัยใต้
ชุมพร,1,สวี,นาสัก
ชุมพร,1,เมืองชุมพร,ท่าตะเภา
ชุมพร,1,เมืองชุมพร,ปากน้ำ
ชุมพร,1,เมืองชุมพร,ท่ายาง
ชุมพร,1,เมืองชุมพร,บางหมาก
ชุมพร,1,เมืองชุมพร,นาทุ่ง
ชุมพร,1,เมืองชุมพร,นาชะอัง
ชุมพร,1,เมืองชุมพร,ตากแดด
ชุมพร,1,เมืองชุมพร,วังไผ่
ชุมพร,1,เมืองชุมพร,ขุนกระทิง
ชุมพร,1,เมืองชุมพร,ทุ่งคา
ชุมพร,1,เมืองชุมพร,วิสัยเหนือ
ชุมพร,1,เมืองชุมพร,หาดทรายรี
ชุมพร,2,ท่าแซะ,
ชุมพร,2,ปะทิว,
ชุมพร,2,เมืองชุมพร,วังใหม่
ชุมพร,2,เมืองชุมพร,บ้านนา
ชุมพร,2,เมืองชุมพร,หาดพันไกร
ชุมพร,2,เมืองชุมพร,บางลึก
ชุมพร,2,เมืองชุมพร,ถ้ำสิงห์
ชุมพร,3,ทุ่งตะโก,
ชุมพร,3,พะโต๊ะ,
