name,province,electorialDistrictNumber,fromParty
พิมพ์ภัทรา วิชัยกุล,นครศรีธรรมราช,8,ประชาธิปัตย์
พิษณุ พลธี,ปทุมธานี,6,ภูมิใจไทย
พีรเดช คำสมุทร,เชียงราย,6,ก้าวไกล
พีระเพชร ศิริกุล,กาฬสินธุ์,4,เพื่อไทย
ไพจิต ศรีวรขาน,นครพนม,3,เพื่อไทย
ไพโรจน์ โล่ห์สุนทร,ลำปาง,2,เพื่อไทย
ไพลิน เทียนสุวรรณ,สมุทรปราการ,7,พลังประชารัฐ
ภณณัฏฐ์ ศรีอินทร์สุทธิ์,นนทบุรี,6,เพื่อไทย
ภราดร ปริศนานันทกุล,อ่างทอง,1,ภูมิใจไทย
ภริม พูลเจริญ,สมุทรปราการ,3,พลังประชารัฐ
ภาคภูมิ บูลย์ประมุข,ตาก,3,เศรษฐกิจไทย
ภาควัต ศรีสุรพล,ขอนแก่น,5,เพื่อไทย
ภาดาท์ วรกานนท์,กรุงเทพมหานคร,6,พลังประชารัฐ
ภานุ ศรีบุศยกาญจน์,สุราษฎร์ธานี,1,ประชาธิปัตย์
ภิญโญ นิโรจน์,นครสวรรค์,1,พลังประชารัฐ
ภูดิท อินสุวรรณ์,พิจิตร,2,พลังประชารัฐ
ภูมิศิษฏ์ คงมี,พัทลุง,1,ภูมิใจไทย
มณฑล โพธิ์คาย,กรุงเทพมหานคร,20,ภูมิใจไทย
มณเฑียร สงฆ์ประชา,ชัยนาท,2,พลังประชารัฐ
มนตรี ตั้งเจริญถาวร,นนทบุรี,4,เพื่อไทย
มนตรี ปาน้อยนนท์,ประจวบคีรีขันธ์,1,ประชาธิปัตย์
มนพร เจริญศรี,นครพนม,2,เพื่อไทย
มัลลิกา จิระพันธุ์วาณิช,ลพบุรี,2,ภูมิใจไทย
มานพ ศรีผึ้ง,นครสวรรค์,4,ภูมิใจไทย
มานะ โลหะวณิชย์,ชัยภูมิ,4,เพื่อไทย
มานะศักดิ์ จันทร์ประสงค์,นนทบุรี,3,เพื่อไทย
มานัส อ่อนอ้าย,พิษณุโลก,5,พลังประชารัฐ
มุกดา พงษ์สมบัติ,ขอนแก่น,4,เพื่อไทย
ยงยุทธ สุวรรณบุตร,สมุทรปราการ,2,พลังประชารัฐ
ยศวัฒน์ มาไพศาลสิน,กาญจนบุรี,3,ภูมิใจไทย
ยุทธพงศ์ จรัสเสถียร,มหาสารคาม,3,เพื่อไทย
รงค์ บุญสวยขวัญ,นครศรีธรรมราช,1,พลังประชารัฐ
รณเทพ อนุวัฒน์,ชลบุรี,3,พลังประชารัฐ
