Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
นาย,ธีระ วงศ์สมุทร,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธีระ-วงศ์สมุทร.jpg,ชาติไทยพัฒนา,[],0.0,0.0,0.0,0.0
นาย,ธีรัจชัย พันธุมาศ,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธีรัจชัย-พันธุมาศ.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,นพคุณ รัฐผไท,true,false,false,true,แบ่งเขต,เชียงใหม่,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นพคุณ-รัฐผไท.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
ดร.,นพดล แก้วสุพัฒน์,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นพดล-แก้วสุพัฒน์.jpg,เพื่อไทย,['G'],1.0,0.0,0.0,0.0
นาย,นพพล เหลืองทองนารา,true,false,false,true,แบ่งเขต,พิษณุโลก,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นพพล-เหลืองทองนารา.jpg,เพื่อไทย,"['G', 'F']",2.0,0.0,0.0,0.0
นาย,นริศ ขำนุรักษ์,true,false,false,true,แบ่งเขต,พัทลุง,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นริศ-ขำนุรักษ์.jpg,ประชาธิปัตย์,[],0.0,0.0,0.0,0.0
นาย,พรชัย ตระกูลวรานนท์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พรชัย-ตระกูลวรานนท์.jpg,พลังประชารัฐ,['I'],1.0,0.0,0.0,0.0
นาย,นวัธ เตาะเจริญสุข,true,false,false,false,แบ่งเขต,ขอนแก่น,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นวัธ-เตาะเจริญสุข.jpg,เพื่อไทย,['M'],1.0,0.0,0.0,0.0
ดร.,นาที รัชกิจประการ,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นาที-รัชกิจประการ.jpg,ภูมิใจไทย,"['G', 'G', 'N']",2.0,550920.0,1.0,0.025528729224052
นาย,นัทธี ถิ่นสาคู,true,false,false,true,แบ่งเขต,ภูเก็ต,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นัทธี-ถิ่นสาคู.jpg,พลังประชารัฐ,['I'],0.0,-1323542.0,1.0,-0.061330765509802
นาย,นิกร จำนง,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิกร-จำนง.jpg,ชาติไทยพัฒนา,['G'],1.0,0.0,0.0,0.0
นาย,นิติพล ผิวเหมาะ,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิติพล-ผิวเหมาะ.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,นิพันธ์ ศิริธร,true,false,false,true,แบ่งเขต,ตรัง,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิพันธ์-ศิริธร.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
ดร.,นิยม เวชกามา,true,false,false,true,แบ่งเขต,สกลนคร,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิยม-เวชกามา.jpg,เพื่อไทย,"['C', 'G']",2.0,0.0,0.0,0.0
นาย,นิรมิต สุจารี,true,false,false,true,แบ่งเขต,ร้อยเอ็ด,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิรมิต-สุจารี.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
นาย,นิรันดร์ นาเมืองรักษ์,true,false,false,true,แบ่งเขต,ร้อยเอ็ด,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิรันดร์-นาเมืองรักษ์.jpg,เพื่อไทย,"['C', 'G']",2.0,0.0,0.0,0.0
นาย,นิรามาน สุไลมาน,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิรามาน-สุไลมาน.jpg,อนาคตใหม่,[],0.0,0.0,0.0,0.0
นาย,นิโรธ สุนทรเลขา,true,false,false,true,แบ่งเขต,นครสวรรค์,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิโรธ-สุนทรเลขา.jpg,รวมไทยสร้างชาติ,"['L', 'I']",2.0,0.0,0.0,0.0
นางสาว,แนน บุณย์ธิดา สมชัย,true,false,false,false,แบ่งเขต,อุบลราชธานี,8.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/แนน-บุณย์ธิดา-สมชัย.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นายแพทย์,บัญญัติ เจตนจันทร์,true,false,false,true,แบ่งเขต,ระยอง,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บัญญัติ-เจตนจันทร์.jpg,ประชาธิปัตย์,"['C', 'Q']",0.0,215143.0,2.0,0.009969373759257
นาย,บัญญัติ บรรทัดฐาน,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บัญญัติ-บรรทัดฐาน.jpg,ประชาธิปัตย์,[],0.0,0.0,0.0,0.0
นาย,บัลลังก์ อรรณนพพร,true,false,false,true,แบ่งเขต,ขอนแก่น,10.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บัลลังก์-อรรณนพพร.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
นาย,บุญแก้ว สมวงศ์,true,false,false,true,แบ่งเขต,ยโสธร,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญแก้ว-สมวงศ์.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
นาย,บุญฐิณ ประทุมลี,true,false,false,true,แบ่งเขต,มุกดาหาร,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญฐิณ-ประทุมลี.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
