,CandidateId,Title,FirstName,LastName,PartyName,PartyNumber,CandidateNo,Votable,ProvinceName,ProvinceCode,ZoneNumber,Age,Occupation,HighestEducation,Image,ImageSrc
691,0bf782e03d68381d0d9de52d95a49a83,นาย,พยุงศักดิ์,  เกิดรอด,พลังสหกรณ์,122,7,True,กำแพงเพชร,62,4,51,รับจ้าง,ต่ำกว่าปริญญาตรี,images/พลังสหกรณ์/พยุงศักดิ์-เกิดรอด.jpg,/yourcandidates/candidates/พลังสหกรณ์/พยุงศักดิ์-เกิดรอด.webp
692,ce3797b83e6e1faee6c8600bfaa02d2b,นาย,รุ่งเจริญ,  โชติมั่ง,ใหม่,13,8,True,กำแพงเพชร,62,4,57,เกษตรกร,ต่ำกว่าปริญญาตรี,images/ใหม่/รุ่งเจริญ-โชติมั่ง.jpg,/yourcandidates/candidates/ใหม่/รุ่งเจริญ-โชติมั่ง.webp
693,36bf9eb6dc162eae39ed1216ad5b475f,นาย,บุญมา,  ดอนไพรบุญ,พลังปวงชนไทย,184,9,True,กำแพงเพชร,62,4,50,ธุรกิจส่วนตัว,ปริญญาตรี,images/พลังปวงชนไทย/บุญมา-ดอนไพรบุญ.jpg,/yourcandidates/candidates/พลังปวงชนไทย/บุญมา-ดอนไพรบุญ.webp
694,e165648cfb489f2118ee34f5577b8e75,นาย,พิบูลย์,รื่นสันต์  ทรายทองวัฒนา,คลองไทย,189,10,True,กำแพงเพชร,62,4,63,เกษตรกร,ปริญญาตรี,images/คลองไทย/พิบูลย์-รื่นสันต์  ทรายทองวัฒนา.jpg,/yourcandidates/candidates/คลองไทย/พิบูลย์-รื่นสันต์  ทรายทองวัฒนา.webp
695,d60d659f0d7effb00f2d24996355ca40,นาย,ฐิตินันท์,  แสงนาค,ภูมิใจไทย,63,1,True,ขอนแก่น,40,1,62,นักการเมือง,ปริญญาโท,images/ภูมิใจไทย/ฐิตินันท์-แสงนาค.jpg,/yourcandidates/candidates/ภูมิใจไทย/ฐิตินันท์-แสงนาค.webp
696,9c7a6276b447c4cebafbb1d7ec03d90a,นาย,อัษฎางค์,  แสวงการ,พลังประชารัฐ,192,2,True,ขอนแก่น,40,1,60,เจ้าของธุรกิจวิทยาลัยอาชีวศึกษาเอกชน,ปริญญาเอก,images/พลังประชารัฐ/อัษฎางค์-แสวงการ.jpg,/yourcandidates/candidates/พลังประชารัฐ/อัษฎางค์-แสวงการ.webp
697,fcd9bde12ed66c899ec89b62a4f8c99a,นาย,จิตติ,  เชิดชู,ประชาธิปัตย์,1,3,True,ขอนแก่น,40,1,59,ธุรกิจส่วนตัว,ปริญญาโท,images/ประชาธิปัตย์/จิตติ-เชิดชู.jpg,/yourcandidates/candidates/ประชาธิปัตย์/จิตติ-เชิดชู.webp
698,beb4958da22162c2fd70ff7fda3e7034,นาย,วีรนันท์,  ฮวดศรี,ก้าวไกล,164,4,True,ขอนแก่น,40,1,33,ทนายความ,ปริญญาตรี,images/ก้าวไกล/วีรนันท์-ฮวดศรี.jpg,/yourcandidates/candidates/ก้าวไกล/วีรนันท์-ฮวดศรี.webp
699,8e7c8270bbd06e4561386308777f0226,นางสาว,อ้อยฤดี,  สันทร,ไทยศรีวิไลย์,180,5,True,ขอนแก่น,40,1,61,ครู อาจารย์ นักวิชาการอิสระ,ปริญญาเอก,images/ไทยศรีวิไลย์/อ้อยฤดี-สันทร.jpg,/yourcandidates/candidates/ไทยศรีวิไลย์/อ้อยฤดี-สันทร.webp
700,88d22eb1ac54b8f88b1d24b10127f816,นาย,ชัชวาล,  พรอมรธรรม,เพื่อไทย,34,6,True,ขอนแก่น,40,1,53,อดีตรองนายกเทศมนตรี,ปริญญาโท,images/เพื่อไทย/ชัชวาล-พรอมรธรรม.jpg,/yourcandidates/candidates/เพื่อไทย/ชัชวาล-พรอมรธรรม.webp
