จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,2,กรุงเทพมหานครปทุมวันรองเมือง,,2
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,2,กรุงเทพมหานครปทุมวันลุมพินี,,2
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,2,กรุงเทพมหานครปทุมวันวังใหม่,,2
กรุงเทพมหานคร,ประเวศ,ดอกไม้,21,กรุงเทพมหานครประเวศดอกไม้,,21
กรุงเทพมหานคร,ประเวศ,ประเวศ,21,กรุงเทพมหานครประเวศประเวศ,,21
กรุงเทพมหานคร,ประเวศ,หนองบอน,22,กรุงเทพมหานครประเวศหนองบอน,,22
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,1,กรุงเทพมหานครป้อมปราบศัตรูพ่ายคลองมหานาค,,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,1,กรุงเทพมหานครป้อมปราบศัตรูพ่ายบ้านบาตร,,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,1,กรุงเทพมหานครป้อมปราบศัตรูพ่ายป้อมปราบ,,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,1,กรุงเทพมหานครป้อมปราบศัตรูพ่ายวัดเทพศิรินทร์,,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,1,กรุงเทพมหานครป้อมปราบศัตรูพ่ายวัดโสมนัส,,1
กรุงเทพมหานคร,พญาไท,พญาไท,6,กรุงเทพมหานครพญาไทพญาไท,,6
กรุงเทพมหานคร,พญาไท,สามเสนใน,6,กรุงเทพมหานครพญาไทสามเสนใน,,6
กรุงเทพมหานคร,พระโขนง,บางจาก,23,กรุงเทพมหานครพระโขนงบางจาก,,23
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,23,กรุงเทพมหานครพระโขนงพระโขนงใต้,,23
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,1,กรุงเทพมหานครพระนครชนะสงคราม,,1
กรุงเทพมหานคร,พระนคร,ตลาดยอด,1,กรุงเทพมหานครพระนครตลาดยอด,,1
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,1,กรุงเทพมหานครพระนครบวรนิเวศ,,1
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,1,กรุงเทพมหานครพระนครบางขุนพรหม,,1
กรุงเทพมหานคร,พระนคร,บ้านพานถม,1,กรุงเทพมหานครพระนครบ้านพานถม,,1
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,1,กรุงเทพมหานครพระนครพระบรมมหาราชวัง,,1
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,1,กรุงเทพมหานครพระนครวังบูรพาภิรมย์,,1
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,1,กรุงเทพมหานครพระนครวัดราชบพิธ,,1
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,1,กรุงเทพมหานครพระนครวัดสามพระยา,,1
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,1,กรุงเทพมหานครพระนครศาลเจ้าพ่อเสือ,,1
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,1,กรุงเทพมหานครพระนครสำราญราษฎร์,,1
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,1,กรุงเทพมหานครพระนครเสาชิงช้า,,1
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,30,กรุงเทพมหานครภาษีเจริญคลองขวาง,,30
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,32,กรุงเทพมหานครภาษีเจริญคูหาสวรรค์,,32
กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,32,กรุงเทพมหานครภาษีเจริญบางจาก,,32
กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,30,กรุงเทพมหานครภาษีเจริญบางด้วน,,30
กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,32,กรุงเทพมหานครภาษีเจริญบางแวก,,32
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,30,กรุงเทพมหานครภาษีเจริญบางหว้า,,30
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,32,กรุงเทพมหานครภาษีเจริญปากคลองภาษีเจริญ,,32
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,19,กรุงเทพมหานครมีนบุรีมีนบุรี,,19
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,18,กรุงเทพมหานครมีนบุรีแสนแสบ,,18
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,3,กรุงเทพมหานครยานนาวาช่องนนทรี,,3
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,3,กรุงเทพมหานครยานนาวาบางโพงพาง,,3
กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,2,กรุงเทพมหานครราชเทวีถนนพญาไท,,2
กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,2,กรุงเทพมหานครราชเทวีถนนเพชรบุรี,,2
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,2,กรุงเทพมหานครราชเทวีทุ่งพญาไท,,2
กรุงเทพมหานคร,ราชเทวี,มักกะสัน,2,กรุงเทพมหานครราชเทวีมักกะสัน,,2
