number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
2,พันเอกสนิท บุญราศรี,พันเอก,สนิท บุญราศรี,ก้าวไกล,เขต,สงขลา,5,male,,,
9,นายกฤตพง โชคกิจธนโภคิน,นาย,กฤตพง โชคกิจธนโภคิน,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
10,นายวรกร ไหลหรั่ง,นาย,วรกร ไหลหรั่ง,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
8,ร้อยตำรวจโทธรัตนชัย เฉลยคาม,ร้อยตำรวจโท,ธรัตนชัย เฉลยคาม,ก้าวไกล,เขต,นครสวรรค์,6,male,,,
12,นายวัชรพงษ์ สุกิจจานนท์,นาย,วัชรพงษ์ สุกิจจานนท์,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
13,นายประมูล ประเสริฐสุข,นาย,ประมูล ประเสริฐสุข,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
3,ร้อยตำรวจโทอุ้ง ธรรมปรีชา,ร้อยตำรวจโท,อุ้ง ธรรมปรีชา,ก้าวไกล,เขต,นครศรีธรรมราช,4,male,,,
15,นายอุทิศ กุลน้อย,นาย,อุทิศ กุลน้อย,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
16,นายสุริยะ สังข์สัพพันธ์,นาย,สุริยะ สังข์สัพพันธ์,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
17,นางสาวอลิส รักษาดี,นางสาว,อลิส รักษาดี,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
18,นายธนากร เศรษฐพินิจ,นาย,ธนากร เศรษฐพินิจ,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
19,นายสมบัติ แก้วสองเมือง,นาย,สมบัติ แก้วสองเมือง,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
