Number,Title,Name,PartyName,MpType,IsMp,IsPmCandidate,MpProvince,MpZone,MpList,companyType,totalValueShare,countCompShare,countDirector,totalPctShare
,นาย,เพิ่มพูน ทองศรี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['G'],1463191,1,0,0.01
,นาย,สวาป เผ่าประทาน,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'F', 'F', 'G']",0,0,4,0.0
,นาย,สุพล ฟองงาม,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุชาติ โชคชัยวัฒนากร,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,วิรัช พันธุมะผล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['K', 'C']",0,0,2,0.0
,นาย,เกษมสันต์ มีทิพย์,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['C', 'G', 'G']",182775,2,1,0.0
,นาย,เขมพล อุ้ยตยะกุล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'R']",826956,1,1,0.01
,นาย,กมล รอดคล้าย,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['N', 'C']",0,0,2,0.0
,นาย,ปราโมทย์ แสงอรุณ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['N', 'N']",0,0,2,0.0
,นาย,องอาจ ปัญญาชาติรักษ์,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['C', 'G', 'G', 'G', 'N', 'C']",0,4,2,0.0
,นาย,ศิริศักดิ์ ร่วมพัฒนา,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นาย,พิเชษฐ หาญจางสิทธิ์,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ณรงค์ จงแจ่มฟ้า,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ญะฟาร์ นววานิช,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'C']",617477,1,1,0.01
,นางสาว,ปาตีเมาะ เปาะอิแตดาโอะ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,พิกิฏ ศรีชนะ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['A', 'G']",0,0,2,0.0
,นาย,มนตรี รักษ์ศรีทอง,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,อภิสมา โพธารากุล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,อรุณี ลิ้มมณี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['N'],0,0,1,0.0
,นาย,คณนาถ หมื่นหนู,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นางสาว,จุฬาลักษณ์ ด้วงทอง,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,วรรณะ ระเด่นอาหมัด,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['C', 'G', 'C']",505624,1,2,0.01
,นาย,เนติวิทย์ ขาวดี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,โปรดปราน โต๊ะราหนี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ธนิศร์ ศรีประเทศ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
